resolution_time,name,configuration,mention_time
72,angular,Random-issues,NA
310,angular,Random-issues,NA
NA,angular,Random-issues,NA
6538,angular,Random-issues,NA
60,angular,Random-issues,NA
1040,angular,Random-issues,NA
12894,angular,Random-issues,NA
0,angular,Random-issues,NA
2286,angular,Random-issues,NA
169,angular,Random-issues,NA
330,angular,Random-issues,NA
NA,angular,Random-issues,NA
5,angular,Random-issues,NA
5,angular,Random-issues,NA
0,angular,Random-issues,NA
44,angular,Random-issues,NA
76,angular,Random-issues,NA
141,angular,Random-issues,NA
16,angular,Random-issues,NA
330,angular,Random-issues,NA
1,angular,Random-issues,NA
12,angular,Random-issues,NA
1391,angular,Random-issues,NA
1,angular,Random-issues,NA
0,angular,Random-issues,NA
7962,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
141,angular,Random-issues,NA
21,angular,Random-issues,NA
5570,angular,Random-issues,NA
21,angular,Random-issues,NA
11,angular,Random-issues,NA
7047,angular,Random-issues,NA
NA,angular,Random-issues,NA
1313,angular,Random-issues,NA
282,angular,Random-issues,NA
56,angular,Random-issues,NA
3801,angular,Random-issues,NA
8,angular,Random-issues,NA
0,angular,Random-issues,NA
59,angular,Random-issues,NA
NA,angular,Random-issues,NA
12,angular,Random-issues,NA
11,angular,Random-issues,NA
4,angular,Random-issues,NA
1,angular,Random-issues,NA
0,angular,Random-issues,NA
96,angular,Random-issues,NA
15,angular,Random-issues,NA
NA,angular,Random-issues,NA
145,angular,Random-issues,NA
39,angular,Random-issues,NA
20,angular,Random-issues,NA
NA,angular,Random-issues,NA
1313,angular,Random-issues,NA
401,angular,Random-issues,NA
44,angular,Random-issues,NA
407,angular,Random-issues,NA
NA,angular,Random-issues,NA
19,angular,Random-issues,NA
73,angular,Random-issues,NA
1,angular,Random-issues,NA
550,angular,Random-issues,NA
3,angular,Random-issues,NA
128,angular,Random-issues,NA
352,angular,Random-issues,NA
200,angular,Random-issues,NA
38,angular,Random-issues,NA
0,angular,Random-issues,NA
11,angular,Random-issues,NA
21,angular,Random-issues,NA
30,angular,Random-issues,NA
3,angular,Random-issues,NA
220,angular,Random-issues,NA
2263,angular,Random-issues,NA
218,angular,Random-issues,NA
40,angular,Random-issues,NA
7,angular,Random-issues,NA
4784,angular,Random-issues,NA
26,angular,Random-issues,NA
NA,angular,Random-issues,NA
467,angular,Random-issues,NA
192,angular,Random-issues,NA
9,angular,Random-issues,NA
3,angular,Random-issues,NA
9,angular,Random-issues,NA
NA,angular,Random-issues,NA
4,angular,Random-issues,NA
NA,angular,Random-issues,NA
114,angular,Random-issues,NA
8307,angular,Random-issues,NA
143,angular,Random-issues,NA
91,angular,Random-issues,NA
10681,angular,Random-issues,NA
18449,angular,Random-issues,NA
27,angular,Random-issues,NA
9,angular,Random-issues,NA
5643,angular,Random-issues,NA
626,angular,Random-issues,NA
133,angular,Random-issues,NA
995,angular,Random-issues,NA
132,angular,Random-issues,NA
9,angular,Random-issues,NA
142,angular,Random-issues,NA
185,angular,Random-issues,NA
NA,angular,Random-issues,NA
914,angular,Random-issues,NA
23684,angular,Random-issues,NA
NA,angular,Random-issues,NA
158,angular,Random-issues,NA
2,angular,Random-issues,NA
0,angular,Random-issues,NA
16,angular,Random-issues,NA
1,angular,Random-issues,NA
385,angular,Random-issues,NA
0,angular,Random-issues,NA
15,angular,Random-issues,NA
NA,angular,Random-issues,NA
1486,angular,Random-issues,NA
144,angular,Random-issues,NA
2368,angular,Random-issues,NA
151,angular,Random-issues,NA
26,angular,Random-issues,NA
54,angular,Random-issues,NA
339,angular,Random-issues,NA
