"","resolution_time","name","configuration"
"554",114,"angular","Random"
"555",NA,"angular","Random"
"556",28,"angular","Random"
"557",1,"angular","Random"
"558",4,"angular","Random"
"559",85,"angular","Random"
"560",2328,"angular","Random"
"561",134,"angular","Random"
"562",435,"angular","Random"
"563",0,"angular","Random"
"564",8637,"angular","Random"
"565",3330,"angular","Random"
"566",2,"angular","Random"
"567",NA,"angular","Random"
"568",1,"angular","Random"
"569",3,"angular","Random"
"570",13,"angular","Random"
"571",68,"angular","Random"
"572",28,"angular","Random"
"573",531,"angular","Random"
"574",2321,"angular","Random"
"575",1,"angular","Random"
"576",510,"angular","Random"
"577",24,"angular","Random"
"578",15,"angular","Random"
"579",47,"angular","Random"
"580",5,"angular","Random"
"581",2,"angular","Random"
"582",NA,"angular","Random"
"583",119,"angular","Random"
"584",29,"angular","Random"
"585",7347,"angular","Random"
"586",31,"angular","Random"
"587",3482,"angular","Random"
"588",92,"angular","Random"
"589",1276,"angular","Random"
"590",36,"angular","Random"
"591",42,"angular","Random"
"592",268,"angular","Random"
"593",1336,"angular","Random"
"594",21,"angular","Random"
"595",399,"angular","Random"
"596",2,"angular","Random"
"597",66,"angular","Random"
"598",21,"angular","Random"
"599",21,"angular","Random"
"600",NA,"angular","Random"
"601",218,"angular","Random"
"602",989,"angular","Random"
"603",27,"angular","Random"
"604",455,"angular","Random"
"605",NA,"angular","Random"
"606",50,"angular","Random"
"607",80,"angular","Random"
"608",38,"angular","Random"
"609",1675,"angular","Random"
"610",NA,"angular","Random"
"611",3573,"angular","Random"
"612",321,"angular","Random"
"613",4,"angular","Random"
"614",NA,"angular","Random"
"615",165,"angular","Random"
"616",37,"angular","Random"
"617",12,"angular","Random"
"618",6,"angular","Random"
"619",57,"angular","Random"
"620",0,"angular","Random"
"621",0,"angular","Random"
"622",0,"angular","Random"
"623",1107,"angular","Random"
"624",0,"angular","Random"
"625",910,"angular","Random"
"626",49,"angular","Random"
"627",1672,"angular","Random"
"628",3,"angular","Random"
"629",6,"angular","Random"
"630",NA,"angular","Random"
"631",3,"angular","Random"
"632",1,"angular","Random"
"633",16,"angular","Random"
"634",221,"angular","Random"
"635",55,"angular","Random"
"636",10613,"angular","Random"
"637",4824,"angular","Random"
"638",16,"angular","Random"
"639",5171,"angular","Random"
"640",0,"angular","Random"
"641",6,"angular","Random"
"642",10,"angular","Random"
"643",7,"angular","Random"
"644",1,"angular","Random"
"645",73,"angular","Random"
"646",3938,"angular","Random"
"647",873,"angular","Random"
"648",0,"angular","Random"
"649",290,"angular","Random"
"650",2,"angular","Random"
"651",0,"angular","Random"
"652",1,"angular","Random"
"653",1990,"angular","Random"
"654",1,"angular","Random"
"655",290,"angular","Random"
"656",NA,"angular","Random"
"657",2,"angular","Random"
"658",13,"angular","Random"
"659",NA,"angular","Random"
"660",809,"angular","Random"
"661",0,"angular","Random"
"662",2860,"angular","Random"
"663",2058,"angular","Random"
"664",0,"angular","Random"
"665",1,"angular","Random"
"666",45,"angular","Random"
"667",NA,"angular","Random"
"668",474,"angular","Random"
"669",10732,"angular","Random"
"670",6615,"angular","Random"
"671",18,"angular","Random"
"672",2,"angular","Random"
"673",2,"angular","Random"
