issuenumber,resolution_time,room,configuration
7971,1317,angular,Random
8000,4064,angular,Random
8001,2,angular,Random
8012,18,angular,Random
8014,9,angular,Random
8049,2,angular,Random
8051,1,angular,Random
8053,45,angular,Random
8060,3646,angular,Random
8065,1157,angular,Random
8074,1,angular,Random
8085,1158,angular,Random
8100,4824,angular,Random
8139,14261,angular,Random
8168,3807,angular,Random
8184,0,angular,Random
8187,986,angular,Random
8211,3459,angular,Random
8237,1358,angular,Random
8273,NA,angular,Random
8277,NA,angular,Random
8297,3655,angular,Random
8305,2383,angular,Random
8310,3676,angular,Random
8334,0,angular,Random
8348,NA,angular,Random
8374,854,angular,Random
8382,3781,angular,Random
8392,21,angular,Random
8411,580,angular,Random
8482,31,angular,Random
8483,179,angular,Random
8537,3573,angular,Random
8554,1681,angular,Random
8574,59,angular,Random
8576,18,angular,Random
8591,38,angular,Random
8609,23,angular,Random
8611,21,angular,Random
8643,3772,angular,Random
8673,15,angular,Random
8686,13,angular,Random
8710,157,angular,Random
8719,15,angular,Random
8723,2777,angular,Random
8727,3314,angular,Random
8784,3692,angular,Random
8794,46,angular,Random
8831,1,angular,Random
8835,0,angular,Random
8847,1025,angular,Random
8854,0,angular,Random
8908,0,angular,Random
8909,8,angular,Random
8915,0,angular,Random
8922,29,angular,Random
8924,4702,angular,Random
8937,2864,angular,Random
8952,11,angular,Random
8962,2982,angular,Random
8996,3,angular,Random
9027,2962,angular,Random
9137,1,angular,Random
9178,41,angular,Random
9193,2738,angular,Random
9215,7,angular,Random
9224,0,angular,Random
9226,3,angular,Random
9230,186,angular,Random
9274,2,angular,Random
9278,17,angular,Random
9287,0,angular,Random
9292,1,angular,Random
9321,14602,angular,Random
9349,7,angular,Random
9371,1,angular,Random
9428,10,angular,Random
9459,1,angular,Random
9476,150,angular,Random
9494,202,angular,Random
9513,5,angular,Random
9530,58,angular,Random
9547,1,angular,Random
9557,4093,angular,Random
9561,41,angular,Random
9567,0,angular,Random
9621,20681,angular,Random
9626,24,angular,Random
9649,2366,angular,Random
9693,2,angular,Random
9709,550,angular,Random
9711,0,angular,Random
9714,322,angular,Random
9749,1,angular,Random
9757,1,angular,Random
9811,3735,angular,Random
9818,417,angular,Random
9819,0,angular,Random
9834,2222,angular,Random
9853,4177,angular,Random
9860,520,angular,Random
9866,13642,angular,Random
9880,2,angular,Random
9885,17,angular,Random
9892,242,angular,Random
9913,150,angular,Random
9927,6,angular,Random
9943,12504,angular,Random
9949,231,angular,Random
9954,21,angular,Random
9958,681,angular,Random
9970,77,angular,Random
10021,44,angular,Random
10040,218,angular,Random
