issuenumber,restime,commentcount,author_association,assigneeid,milestone,room,config
610,68,14,CONTRIBUTOR,NA,NO,amber,Gitter
616,433,3,CONTRIBUTOR,NA,NO,amber,Gitter
617,32,3,MEMBER,NA,NO,amber,Gitter
619,11,0,CONTRIBUTOR,NA,NO,amber,Gitter
620,11,2,MEMBER,NA,NO,amber,Gitter
629,2180,10,MEMBER,NA,NO,amber,Gitter
637,87,1,CONTRIBUTOR,NA,NO,amber,Gitter
652,51,1,CONTRIBUTOR,NA,NO,amber,Gitter
659,579,2,CONTRIBUTOR,NA,NO,amber,Gitter
660,2637,8,MEMBER,NA,NO,amber,Gitter
663,280,1,CONTRIBUTOR,NA,NO,amber,Gitter
665,289,0,CONTRIBUTOR,NA,NO,amber,Gitter
669,73,10,MEMBER,NA,NO,amber,Gitter
688,6961,3,NONE,NA,NO,amber,Gitter
693,5170,7,MEMBER,3067335,NO,amber,Gitter
697,6835,7,NONE,NA,YES,amber,Gitter
698,NA,19,NONE,1685772,YES,amber,Gitter
699,6771,6,MEMBER,3067335,NO,amber,Gitter
705,189,10,MEMBER,NA,NO,amber,Gitter
709,291,1,MEMBER,NA,NO,amber,Gitter
710,290,9,MEMBER,NA,NO,amber,Gitter
724,6412,7,CONTRIBUTOR,NA,NO,amber,Gitter
731,70,10,NONE,NA,NO,amber,Gitter
734,55,1,MEMBER,NA,YES,amber,Gitter
735,51,0,MEMBER,NA,YES,amber,Gitter
736,5,2,CONTRIBUTOR,NA,YES,amber,Gitter
740,8,12,CONTRIBUTOR,NA,YES,amber,Gitter
745,358,11,CONTRIBUTOR,NA,YES,amber,Gitter
747,1535,6,MEMBER,NA,NO,amber,Gitter
749,9682,7,MEMBER,NA,NO,amber,Gitter
750,1510,30,MEMBER,NA,YES,amber,Gitter
757,53,2,MEMBER,NA,NO,amber,Gitter
758,46,0,CONTRIBUTOR,NA,YES,amber,Gitter
760,NA,3,MEMBER,8227641,YES,amber,Gitter
766,1447,30,NONE,NA,NO,amber,Gitter
770,5907,4,MEMBER,3067335,NO,amber,Gitter
772,4108,6,MEMBER,NA,NO,amber,Gitter
773,1174,4,CONTRIBUTOR,NA,NO,amber,Gitter
775,312,8,MEMBER,NA,NO,amber,Gitter
778,NA,10,NONE,861543,YES,amber,Gitter
783,17,1,MEMBER,NA,NO,amber,Gitter
785,67,3,MEMBER,NA,YES,amber,Gitter
795,33,0,MEMBER,NA,YES,amber,Gitter
805,45,11,NONE,NA,NO,amber,Gitter
806,5221,6,NONE,NA,NO,amber,Gitter
808,2283,7,NONE,3067335,NO,amber,Gitter
810,3491,26,MEMBER,NA,NO,amber,Gitter
835,496,1,MEMBER,NA,NO,amber,Gitter
838,127,2,MEMBER,NA,YES,amber,Gitter
839,21,1,MEMBER,NA,YES,amber,Gitter
840,4747,1,MEMBER,NA,NO,amber,Gitter
841,4737,3,MEMBER,NA,NO,amber,Gitter
842,4105,3,MEMBER,NA,NO,amber,Gitter
850,117,8,MEMBER,NA,YES,amber,Gitter
857,80,5,MEMBER,NA,YES,amber,Gitter
864,1650,8,MEMBER,NA,YES,amber,Gitter
865,4567,11,MEMBER,NA,NO,amber,Gitter
874,28,0,MEMBER,NA,YES,amber,Gitter
879,1557,30,MEMBER,NA,NO,amber,Gitter
916,3095,4,CONTRIBUTOR,NA,NO,amber,Gitter
917,1007,0,NONE,NA,NO,amber,Gitter
919,24,2,CONTRIBUTOR,3067335,NO,amber,Gitter
928,49,1,NONE,NA,NO,amber,Gitter
938,270,30,MEMBER,NA,NO,amber,Gitter
941,6697,6,CONTRIBUTOR,NA,NO,amber,Gitter
942,6362,14,MEMBER,18718,NO,amber,Gitter
943,NA,6,NONE,1685772,NO,amber,Gitter
949,26,0,CONTRIBUTOR,NA,NO,amber,Gitter
955,NA,5,MEMBER,NA,YES,amber,Gitter
958,2216,1,NONE,NA,NO,amber,Gitter
973,24,3,MEMBER,NA,NO,amber,Gitter
991,146,10,CONTRIBUTOR,NA,NO,amber,Gitter
995,3701,7,NONE,NA,NO,amber,Gitter
996,67,3,CONTRIBUTOR,NA,NO,amber,Gitter
1009,50,2,MEMBER,NA,NO,amber,Gitter
1027,4,0,MEMBER,NA,NO,amber,Gitter
1054,180,8,MEMBER,NA,NO,amber,Gitter
1057,164,1,CONTRIBUTOR,NA,NO,amber,Gitter
1074,NA,3,NONE,8227641,NO,amber,Gitter
1078,4535,4,CONTRIBUTOR,NA,NO,amber,Gitter
1089,553,1,MEMBER,NA,NO,amber,Gitter
1090,435,5,CONTRIBUTOR,NA,NO,amber,Gitter
1091,299,4,CONTRIBUTOR,NA,NO,amber,Gitter
1096,317,19,CONTRIBUTOR,NA,NO,amber,Gitter
1109,68,4,CONTRIBUTOR,NA,NO,amber,Gitter
1111,73,0,CONTRIBUTOR,NA,NO,amber,Gitter
1114,127,5,CONTRIBUTOR,NA,NO,amber,Gitter
1118,NA,2,CONTRIBUTOR,NA,NO,amber,Gitter
1123,151,0,CONTRIBUTOR,NA,NO,amber,Gitter
1129,NA,17,CONTRIBUTOR,NA,YES,amber,Gitter
1136,NA,0,CONTRIBUTOR,NA,NO,amber,Gitter
1139,81,5,CONTRIBUTOR,NA,NO,amber,Gitter
1143,10,0,CONTRIBUTOR,NA,NO,amber,Gitter
1149,125,1,MEMBER,NA,NO,amber,Gitter
133,3139,30,MEMBER,NA,NO,angular,Gitter
506,5107,4,MEMBER,NA,NO,angular,Gitter
596,68,4,MEMBER,NA,YES,angular,Gitter
629,25,7,CONTRIBUTOR,NA,NO,angular,Gitter
666,42,4,CONTRIBUTOR,NA,NO,angular,Gitter
686,198,5,MEMBER,95713,YES,angular,Gitter
709,1667,30,MEMBER,973550,NO,angular,Gitter
733,1485,3,CONTRIBUTOR,NA,NO,angular,Gitter
791,2210,30,MEMBER,248818,NO,angular,Gitter
845,531,11,CONTRIBUTOR,NA,NO,angular,Gitter
914,90,4,MEMBER,973550,YES,angular,Gitter
929,1151,5,CONTRIBUTOR,NA,NO,angular,Gitter
932,1387,22,MEMBER,838736,YES,angular,Gitter
951,130,1,MEMBER,NA,YES,angular,Gitter
965,433,3,NONE,973550,YES,angular,Gitter
973,602,23,MEMBER,973550,YES,angular,Gitter
1022,463,6,CONTRIBUTOR,NA,NO,angular,Gitter
1034,1684,22,MEMBER,NA,NO,angular,Gitter
1050,1216,11,NONE,NA,NO,angular,Gitter
1060,246,26,MEMBER,95713,NO,angular,Gitter
1073,60,2,MEMBER,NA,NO,angular,Gitter
1085,1587,6,MEMBER,95713,NO,angular,Gitter
1127,25,2,MEMBER,NA,NO,angular,Gitter
1143,92,5,MEMBER,NA,NO,angular,Gitter
1159,1451,4,CONTRIBUTOR,973550,NO,angular,Gitter
1216,214,15,CONTRIBUTOR,111951,YES,angular,Gitter
1236,582,7,CONTRIBUTOR,NA,NO,angular,Gitter
1239,10895,28,MEMBER,NA,NO,angular,Gitter
