issuenumber,restime,commentcount,author_association,assigneeid,milestone,room,config
288,91,0,MEMBER,2133368,NO,amber,Random
289,89,0,MEMBER,NA,NO,amber,Random
292,111,17,CONTRIBUTOR,NA,NO,amber,Random
299,14,17,MEMBER,NA,NO,amber,Random
303,188,4,CONTRIBUTOR,NA,NO,amber,Random
305,30,5,MEMBER,NA,NO,amber,Random
310,243,14,NONE,NA,NO,amber,Random
311,8,0,CONTRIBUTOR,NA,NO,amber,Random
322,238,13,NONE,NA,NO,amber,Random
323,603,13,NONE,NA,YES,amber,Random
332,110,12,MEMBER,NA,NO,amber,Random
336,71,1,MEMBER,NA,NO,amber,Random
341,3,3,NONE,NA,NO,amber,Random
344,51,5,CONTRIBUTOR,NA,NO,amber,Random
348,43,7,MEMBER,NA,NO,amber,Random
353,153,1,MEMBER,NA,NO,amber,Random
357,18,0,CONTRIBUTOR,NA,YES,amber,Random
359,115,16,MEMBER,NA,NO,amber,Random
360,17,4,MEMBER,NA,NO,amber,Random
366,53,0,MEMBER,NA,NO,amber,Random
370,30,7,MEMBER,NA,NO,amber,Random
375,NA,18,NONE,2466729,YES,amber,Random
378,4,0,MEMBER,NA,NO,amber,Random
394,28,6,CONTRIBUTOR,NA,YES,amber,Random
399,11,0,CONTRIBUTOR,NA,YES,amber,Random
407,260,8,MEMBER,NA,NO,amber,Random
409,0,2,MEMBER,NA,NO,amber,Random
418,60,24,NONE,NA,NO,amber,Random
420,2371,9,MEMBER,NA,YES,amber,Random
426,52,1,CONTRIBUTOR,NA,YES,amber,Random
427,66,0,MEMBER,NA,YES,amber,Random
429,7,1,MEMBER,NA,YES,amber,Random
430,45,1,MEMBER,NA,YES,amber,Random
435,371,2,MEMBER,NA,YES,amber,Random
436,392,3,NONE,NA,NO,amber,Random
438,244,3,MEMBER,NA,NO,amber,Random
444,2,0,MEMBER,NA,NO,amber,Random
447,2,0,CONTRIBUTOR,NA,YES,amber,Random
449,123,0,CONTRIBUTOR,NA,YES,amber,Random
454,48,5,CONTRIBUTOR,NA,NO,amber,Random
467,349,6,CONTRIBUTOR,NA,YES,amber,Random
468,110,3,NONE,NA,YES,amber,Random
469,100,7,MEMBER,NA,NO,amber,Random
472,74,0,MEMBER,NA,NO,amber,Random
475,220,2,NONE,NA,NO,amber,Random
476,8492,10,MEMBER,3067335,YES,amber,Random
481,1,0,CONTRIBUTOR,NA,NO,amber,Random
482,21,0,CONTRIBUTOR,NA,NO,amber,Random
488,104,9,NONE,NA,YES,amber,Random
491,97,10,MEMBER,NA,YES,amber,Random
492,3,2,CONTRIBUTOR,NA,NO,amber,Random
496,0,0,CONTRIBUTOR,NA,NO,amber,Random
497,73,6,CONTRIBUTOR,NA,NO,amber,Random
499,124,8,MEMBER,NA,YES,amber,Random
501,46,10,MEMBER,NA,NO,amber,Random
503,1,0,CONTRIBUTOR,NA,NO,amber,Random
506,3,3,CONTRIBUTOR,NA,NO,amber,Random
514,2,0,MEMBER,NA,NO,amber,Random
518,0,1,CONTRIBUTOR,NA,NO,amber,Random
519,15,3,CONTRIBUTOR,NA,YES,amber,Random
521,15,0,MEMBER,NA,NO,amber,Random
525,5,1,MEMBER,NA,NO,amber,Random
528,167,4,MEMBER,NA,YES,amber,Random
537,7,0,MEMBER,NA,NO,amber,Random
542,11,0,MEMBER,NA,NO,amber,Random
563,11,2,MEMBER,NA,NO,amber,Random
565,49,10,CONTRIBUTOR,NA,NO,amber,Random
568,32,5,CONTRIBUTOR,NA,NO,amber,Random
579,61,6,CONTRIBUTOR,NA,NO,amber,Random
588,51,8,MEMBER,NA,NO,amber,Random
596,0,1,CONTRIBUTOR,NA,NO,amber,Random
598,16,1,MEMBER,NA,NO,amber,Random
599,42,2,MEMBER,NA,NO,amber,Random
601,7848,7,NONE,NA,YES,amber,Random
617,32,3,MEMBER,NA,NO,amber,Random
621,2511,1,MEMBER,3067335,YES,amber,Random
626,20,0,MEMBER,NA,NO,amber,Random
628,11,1,CONTRIBUTOR,NA,NO,amber,Random
633,9,1,MEMBER,NA,NO,amber,Random
641,5044,7,MEMBER,NA,YES,amber,Random
647,15,1,CONTRIBUTOR,NA,NO,amber,Random
662,48,0,MEMBER,NA,NO,amber,Random
663,280,1,CONTRIBUTOR,NA,NO,amber,Random
665,289,0,CONTRIBUTOR,NA,NO,amber,Random
675,1011,3,NONE,NA,NO,amber,Random
678,1,0,CONTRIBUTOR,NA,NO,amber,Random
681,1,0,CONTRIBUTOR,NA,NO,amber,Random
684,1,0,CONTRIBUTOR,NA,NO,amber,Random
689,280,2,CONTRIBUTOR,NA,NO,amber,Random
703,7,1,CONTRIBUTOR,NA,NO,amber,Random
710,290,9,MEMBER,NA,NO,amber,Random
711,129,9,NONE,NA,NO,amber,Random
713,2099,0,MEMBER,3067335,NO,amber,Random
714,23,0,MEMBER,NA,NO,amber,Random
718,5,0,MEMBER,NA,NO,amber,Random
721,55,0,MEMBER,NA,YES,amber,Random
726,8,0,MEMBER,NA,YES,amber,Random
730,462,2,MEMBER,1685772,NO,amber,Random
734,55,1,MEMBER,NA,YES,amber,Random
738,4500,14,MEMBER,3067335,NO,amber,Random
746,814,30,CONTRIBUTOR,NA,YES,amber,Random
754,86,1,CONTRIBUTOR,NA,YES,amber,Random
767,1274,2,CONTRIBUTOR,3067335,NO,amber,Random
772,4108,6,MEMBER,NA,NO,amber,Random
776,665,3,NONE,NA,NO,amber,Random
779,79,0,CONTRIBUTOR,NA,YES,amber,Random
785,67,3,MEMBER,NA,YES,amber,Random
788,24,0,MEMBER,NA,YES,amber,Random
802,5570,5,NONE,3067335,NO,amber,Random
804,192,1,MEMBER,NA,YES,amber,Random
805,45,11,NONE,NA,NO,amber,Random
812,46,4,MEMBER,NA,YES,amber,Random
814,89,11,CONTRIBUTOR,NA,YES,amber,Random
819,1871,13,MEMBER,NA,NO,amber,Random
820,408,0,MEMBER,NA,YES,amber,Random
825,396,6,MEMBER,NA,YES,amber,Random
827,3319,4,MEMBER,NA,NO,amber,Random
829,363,0,MEMBER,3067335,NO,amber,Random
831,8523,3,NONE,NA,NO,amber,Random
852,144,5,CONTRIBUTOR,NA,YES,amber,Random
855,0,1,CONTRIBUTOR,NA,NO,amber,Random
861,103,6,MEMBER,NA,YES,amber,Random
865,4567,11,MEMBER,NA,NO,amber,Random
866,1650,1,MEMBER,NA,NO,amber,Random
870,0,0,CONTRIBUTOR,NA,NO,amber,Random
873,16,1,NONE,NA,NO,amber,Random
876,58,1,MEMBER,NA,NO,amber,Random
889,4,0,CONTRIBUTOR,NA,NO,amber,Random
892,10,4,CONTRIBUTOR,NA,NO,amber,Random
894,6,0,CONTRIBUTOR,NA,NO,amber,Random
895,2653,7,CONTRIBUTOR,3067335,NO,amber,Random
900,2734,4,MEMBER,NA,NO,amber,Random
903,170,7,NONE,NA,NO,amber,Random
904,1403,1,NONE,NA,NO,amber,Random
906,1324,2,CONTRIBUTOR,NA,NO,amber,Random
910,158,1,CONTRIBUTOR,NA,NO,amber,Random
914,2269,3,NONE,NA,NO,amber,Random
920,293,3,MEMBER,NA,NO,amber,Random
925,69,3,NONE,NA,NO,amber,Random
929,8,0,MEMBER,NA,NO,amber,Random
930,4,0,MEMBER,NA,NO,amber,Random
933,5,0,MEMBER,NA,NO,amber,Random
942,6362,14,MEMBER,18718,NO,amber,Random
944,3,1,CONTRIBUTOR,NA,NO,amber,Random
945,571,0,CONTRIBUTOR,NA,NO,amber,Random
946,571,30,CONTRIBUTOR,NA,NO,amber,Random
954,182,7,CONTRIBUTOR,NA,NO,amber,Random
961,42,1,MEMBER,NA,NO,amber,Random
963,251,10,MEMBER,NA,NO,amber,Random
967,19,0,MEMBER,NA,NO,amber,Random
968,1,0,MEMBER,3067335,NO,amber,Random
972,7,2,NONE,NA,NO,amber,Random
973,24,3,MEMBER,NA,NO,amber,Random
980,11,0,CONTRIBUTOR,NA,NO,amber,Random
995,3701,7,NONE,NA,NO,amber,Random
996,67,3,CONTRIBUTOR,NA,NO,amber,Random
998,8,0,MEMBER,NA,NO,amber,Random
1000,4,1,CONTRIBUTOR,NA,NO,amber,Random
1003,358,1,MEMBER,NA,NO,amber,Random
1011,0,0,CONTRIBUTOR,NA,NO,amber,Random
1020,38,8,CONTRIBUTOR,NA,NO,amber,Random
1024,16,3,CONTRIBUTOR,NA,NO,amber,Random
1025,97,2,CONTRIBUTOR,NA,NO,amber,Random
1038,44,0,CONTRIBUTOR,NA,NO,amber,Random
1040,24,0,CONTRIBUTOR,NA,NO,amber,Random
1047,2956,2,MEMBER,NA,NO,amber,Random
1050,12,3,NONE,NA,NO,amber,Random
1051,33,0,CONTRIBUTOR,NA,NO,amber,Random
1058,4474,4,NONE,NA,NO,amber,Random
1060,417,0,MEMBER,NA,NO,amber,Random
1061,NA,19,CONTRIBUTOR,NA,NO,amber,Random
1070,1019,3,CONTRIBUTOR,NA,NO,amber,Random
1075,2,1,NONE,NA,NO,amber,Random
1076,1985,5,NONE,NA,NO,amber,Random
1077,1773,2,CONTRIBUTOR,NA,NO,amber,Random
1078,4535,4,CONTRIBUTOR,NA,NO,amber,Random
1080,1124,0,CONTRIBUTOR,NA,NO,amber,Random
1086,12,1,CONTRIBUTOR,NA,NO,amber,Random
1092,17,5,CONTRIBUTOR,NA,NO,amber,Random
1094,6,0,CONTRIBUTOR,NA,NO,amber,Random
1098,119,0,CONTRIBUTOR,NA,NO,amber,Random
1099,231,1,NONE,NA,NO,amber,Random
1102,62,0,CONTRIBUTOR,NA,NO,amber,Random
1123,151,0,CONTRIBUTOR,NA,NO,amber,Random
1139,81,5,CONTRIBUTOR,NA,NO,amber,Random
1140,97,4,CONTRIBUTOR,NA,NO,amber,Random
1144,5,1,NONE,NA,NO,amber,Random
1147,313,5,MEMBER,NA,NO,amber,Random
1148,NA,4,CONTRIBUTOR,NA,NO,amber,Random
1154,NA,1,CONTRIBUTOR,20938712,NO,amber,Random
1159,500,5,CONTRIBUTOR,NA,NO,amber,Random
10005,1,1,CONTRIBUTOR,NA,NO,angular,Random
10021,44,4,NONE,NA,NO,angular,Random
10029,12,4,MEMBER,85066,YES,angular,Random
10040,218,4,NONE,3871688,NO,angular,Random
10055,18,2,NONE,NA,NO,angular,Random
10079,339,8,NONE,35996,NO,angular,Random
10096,3,2,CONTRIBUTOR,NA,NO,angular,Random
101,163,3,CONTRIBUTOR,NA,NO,angular,Random
10106,2,3,NONE,NA,NO,angular,Random
10117,98,7,CONTRIBUTOR,3871688,NO,angular,Random
10126,1,2,NONE,NA,NO,angular,Random
10130,17,2,CONTRIBUTOR,NA,NO,angular,Random
10132,185,10,CONTRIBUTOR,35996,NO,angular,Random
10139,2361,3,CONTRIBUTOR,NA,NO,angular,Random
10151,15,6,NONE,NA,NO,angular,Random
10162,552,2,NONE,NA,YES,angular,Random
10166,22,5,NONE,NA,NO,angular,Random
10198,38,1,CONTRIBUTOR,NA,NO,angular,Random
10204,4,4,NONE,NA,NO,angular,Random
10205,261,1,CONTRIBUTOR,NA,NO,angular,Random
10209,2,4,NONE,NA,NO,angular,Random
1023,3,2,CONTRIBUTOR,95713,NO,angular,Random
10230,105,3,NONE,NA,NO,angular,Random
10236,1,5,CONTRIBUTOR,NA,NO,angular,Random
10239,0,2,NONE,NA,NO,angular,Random
10257,0,2,NONE,NA,NO,angular,Random
10258,6107,5,NONE,NA,NO,angular,Random
10282,1751,2,MEMBER,NA,NO,angular,Random
10290,96,17,CONTRIBUTOR,NA,NO,angular,Random
10321,2359,9,NONE,NA,NO,angular,Random
10343,2,4,NONE,NA,NO,angular,Random
10345,7,5,NONE,NA,NO,angular,Random
10364,1,2,CONTRIBUTOR,NA,NO,angular,Random
10390,8,3,NONE,NA,NO,angular,Random
10393,6,2,NONE,NA,NO,angular,Random
104,36,2,MEMBER,NA,NO,angular,Random
10402,67,2,CONTRIBUTOR,NA,NO,angular,Random
10425,2,2,MEMBER,NA,NO,angular,Random
10435,1534,2,NONE,NA,NO,angular,Random
10442,33,5,NONE,NA,NO,angular,Random
10455,1,3,NONE,NA,NO,angular,Random
10457,47,13,CONTRIBUTOR,NA,NO,angular,Random
10461,1672,4,NONE,NA,NO,angular,Random
10464,217,2,MEMBER,NA,NO,angular,Random
10469,0,1,NONE,NA,NO,angular,Random
10482,19,2,CONTRIBUTOR,47395,NO,angular,Random
10486,5,3,MEMBER,NA,NO,angular,Random
1049,43,1,CONTRIBUTOR,111951,NO,angular,Random
10494,2048,12,NONE,NA,NO,angular,Random
10500,95,1,NONE,NA,NO,angular,Random
10509,1,2,NONE,NA,NO,angular,Random
10517,2,2,NONE,NA,NO,angular,Random
10533,1,2,MEMBER,NA,NO,angular,Random
10551,10,3,NONE,NA,NO,angular,Random
10552,569,30,NONE,NA,NO,angular,Random
10556,NA,30,NONE,516168,YES,angular,Random
10565,1,3,NONE,NA,NO,angular,Random
10569,0,2,NONE,NA,NO,angular,Random
10583,6,6,MEMBER,216296,NO,angular,Random
10585,377,7,CONTRIBUTOR,35996,NO,angular,Random
10587,16,3,NONE,NA,NO,angular,Random
10603,NA,1,NONE,NA,YES,angular,Random
10606,1,3,NONE,NA,NO,angular,Random
10610,21,1,CONTRIBUTOR,NA,NO,angular,Random
10614,1527,7,NONE,NA,NO,angular,Random
10616,26,5,MEMBER,NA,NO,angular,Random
10631,NA,2,CONTRIBUTOR,NA,YES,angular,Random
10644,NA,2,NONE,NA,YES,angular,Random
10647,NA,27,NONE,NA,YES,angular,Random
10650,165,1,MEMBER,NA,NO,angular,Random
10655,0,1,NONE,NA,NO,angular,Random
10657,29,4,CONTRIBUTOR,NA,NO,angular,Random
10662,3,5,NONE,NA,NO,angular,Random
10671,4,20,NONE,NA,NO,angular,Random
10677,1,4,NONE,NA,NO,angular,Random
10692,1,2,NONE,NA,NO,angular,Random
10717,2,2,NONE,NA,NO,angular,Random
10718,1,2,NONE,NA,NO,angular,Random
10752,6,2,MEMBER,NA,YES,angular,Random
10781,85,1,CONTRIBUTOR,NA,NO,angular,Random
10784,2,7,NONE,NA,NO,angular,Random
10786,2112,2,MEMBER,NA,NO,angular,Random
10790,68,1,CONTRIBUTOR,NA,NO,angular,Random
10803,12712,2,CONTRIBUTOR,85066,NO,angular,Random
10804,11,2,NONE,NA,NO,angular,Random
10815,1,6,NONE,NA,NO,angular,Random
10841,35,3,NONE,NA,NO,angular,Random
10843,4130,3,CONTRIBUTOR,NA,NO,angular,Random
10846,1354,2,NONE,NA,NO,angular,Random
1085,1587,6,MEMBER,95713,NO,angular,Random
10861,171,1,CONTRIBUTOR,85066,NO,angular,Random
10863,1,1,MEMBER,NA,NO,angular,Random
10868,20,12,CONTRIBUTOR,10632216,NO,angular,Random
1088,662,12,MEMBER,690815,YES,angular,Random
10886,1342,7,NONE,NA,NO,angular,Random
10889,0,2,MEMBER,NA,NO,angular,Random
10904,20,2,MEMBER,NA,YES,angular,Random
10915,1326,6,NONE,NA,NO,angular,Random
10916,NA,0,CONTRIBUTOR,NA,YES,angular,Random
10917,NA,5,CONTRIBUTOR,NA,YES,angular,Random
10922,1,2,NONE,NA,NO,angular,Random
10935,16,11,CONTRIBUTOR,NA,NO,angular,Random
1094,7,1,CONTRIBUTOR,NA,NO,angular,Random
10944,97,7,NONE,NA,NO,angular,Random
10950,136,4,NONE,NA,NO,angular,Random
10975,33,2,CONTRIBUTOR,NA,NO,angular,Random
10988,6,1,MEMBER,NA,NO,angular,Random
110,24,3,CONTRIBUTOR,NA,NO,angular,Random
11009,9,2,CONTRIBUTOR,95713,YES,angular,Random
11029,0,2,NONE,NA,NO,angular,Random
11041,NA,6,MEMBER,NA,YES,angular,Random
11052,863,7,CONTRIBUTOR,248818,NO,angular,Random
11055,11405,6,NONE,NA,NO,angular,Random
1108,46,1,MEMBER,NA,NO,angular,Random
11090,7,4,NONE,NA,NO,angular,Random
11097,NA,3,MEMBER,NA,YES,angular,Random
111,42,3,CONTRIBUTOR,35996,NO,angular,Random
11107,1,2,CONTRIBUTOR,NA,NO,angular,Random
11136,16,4,NONE,NA,NO,angular,Random
11144,NA,8,CONTRIBUTOR,NA,YES,angular,Random
11151,NA,8,CONTRIBUTOR,NA,YES,angular,Random
11156,3,2,CONTRIBUTOR,NA,NO,angular,Random
11173,NA,1,CONTRIBUTOR,NA,YES,angular,Random
1118,5,3,MEMBER,973550,NO,angular,Random
11185,0,1,CONTRIBUTOR,NA,NO,angular,Random
11191,1,6,NONE,NA,NO,angular,Random
11202,41,5,NONE,NA,NO,angular,Random
1122,5,2,CONTRIBUTOR,7208,NO,angular,Random
11220,3,3,CONTRIBUTOR,NA,NO,angular,Random
11226,952,2,MEMBER,NA,NO,angular,Random
11243,1152,8,MEMBER,NA,NO,angular,Random
11249,286,2,NONE,NA,NO,angular,Random
11253,3,5,NONE,3871688,NO,angular,Random
11258,115,1,CONTRIBUTOR,NA,YES,angular,Random
11269,1,2,NONE,NA,NO,angular,Random
11274,56,9,NONE,NA,NO,angular,Random
11300,229,13,CONTRIBUTOR,NA,NO,angular,Random
1131,1,2,CONTRIBUTOR,NA,NO,angular,Random
11314,2388,3,NONE,NA,NO,angular,Random
11329,11,3,NONE,NA,NO,angular,Random
1133,16,2,CONTRIBUTOR,NA,NO,angular,Random
11337,67,7,CONTRIBUTOR,NA,NO,angular,Random
1134,340,5,CONTRIBUTOR,NA,NO,angular,Random
11369,0,2,NONE,NA,NO,angular,Random
11376,8468,5,CONTRIBUTOR,NA,NO,angular,Random
11384,2,4,CONTRIBUTOR,NA,NO,angular,Random
114,320,6,CONTRIBUTOR,NA,YES,angular,Random
11407,35,5,NONE,248818,NO,angular,Random
1144,0,3,CONTRIBUTOR,NA,NO,angular,Random
11443,24,4,NONE,NA,NO,angular,Random
1145,1514,4,MEMBER,838736,NO,angular,Random
11469,18,1,CONTRIBUTOR,NA,YES,angular,Random
11495,0,2,NONE,NA,NO,angular,Random
11498,65,2,CONTRIBUTOR,NA,NO,angular,Random
1150,0,1,CONTRIBUTOR,NA,NO,angular,Random
11505,1,2,NONE,NA,NO,angular,Random
11515,208,4,CONTRIBUTOR,NA,NO,angular,Random
11516,37,4,NONE,3871688,NO,angular,Random
11527,7,2,NONE,NA,NO,angular,Random
1153,730,2,CONTRIBUTOR,973550,NO,angular,Random
11540,0,3,NONE,NA,NO,angular,Random
11542,5,1,CONTRIBUTOR,NA,YES,angular,Random
11547,2,1,CONTRIBUTOR,NA,NO,angular,Random
11550,0,2,NONE,NA,NO,angular,Random
11565,6,11,NONE,NA,NO,angular,Random
11573,0,2,MEMBER,216296,NO,angular,Random
11609,3,2,CONTRIBUTOR,NA,NO,angular,Random
1162,11014,4,MEMBER,NA,NO,angular,Random
11634,17,2,NONE,NA,NO,angular,Random
11644,12,4,NONE,NA,NO,angular,Random
11647,10920,3,CONTRIBUTOR,248818,NO,angular,Random
11649,42,12,NONE,NA,NO,angular,Random
11650,0,8,NONE,NA,NO,angular,Random
11682,NA,0,CONTRIBUTOR,NA,YES,angular,Random
11683,1152,2,CONTRIBUTOR,690815,NO,angular,Random
11692,987,6,CONTRIBUTOR,NA,NO,angular,Random
11700,NA,20,NONE,NA,YES,angular,Random
11710,5,6,NONE,NA,NO,angular,Random
1172,1758,3,CONTRIBUTOR,NA,NO,angular,Random
11723,0,8,NONE,NA,NO,angular,Random
11734,0,1,CONTRIBUTOR,47395,NO,angular,Random
11740,6648,3,NONE,NA,NO,angular,Random
11746,3154,1,NONE,NA,NO,angular,Random
11752,0,1,NONE,NA,NO,angular,Random
11753,0,2,NONE,NA,NO,angular,Random
11763,NA,8,CONTRIBUTOR,3871688,YES,angular,Random
11768,914,1,NONE,NA,NO,angular,Random
11772,73,2,CONTRIBUTOR,NA,NO,angular,Random
11775,4870,3,MEMBER,NA,NO,angular,Random
11782,61,2,MEMBER,NA,NO,angular,Random
11788,6,6,NONE,NA,NO,angular,Random
1179,47,1,MEMBER,NA,NO,angular,Random
11791,0,2,NONE,NA,NO,angular,Random
11809,840,7,NONE,35996,NO,angular,Random
1181,31,2,MEMBER,NA,NO,angular,Random
11812,311,30,NONE,NA,NO,angular,Random
11833,0,2,NONE,NA,NO,angular,Random
11839,0,2,CONTRIBUTOR,NA,NO,angular,Random
11843,246,3,MEMBER,248818,NO,angular,Random
11849,887,2,NONE,NA,NO,angular,Random
11854,438,10,NONE,NA,NO,angular,Random
11878,167,1,CONTRIBUTOR,NA,NO,angular,Random
11883,6,2,NONE,NA,NO,angular,Random
11888,1,2,NONE,NA,NO,angular,Random
11890,0,6,NONE,NA,NO,angular,Random
11891,151,3,CONTRIBUTOR,NA,NO,angular,Random
11897,13,4,NONE,NA,NO,angular,Random
11898,9,3,NONE,NA,NO,angular,Random
119,174,7,CONTRIBUTOR,248818,NO,angular,Random
1190,37,3,CONTRIBUTOR,111951,NO,angular,Random
11900,3,5,NONE,NA,NO,angular,Random
11922,0,3,NONE,NA,NO,angular,Random
11924,0,1,NONE,NA,NO,angular,Random
11933,0,2,NONE,NA,NO,angular,Random
11939,2,8,NONE,NA,NO,angular,Random
11946,0,2,NONE,NA,NO,angular,Random
11966,0,3,NONE,NA,NO,angular,Random
11972,10,4,NONE,NA,NO,angular,Random
12004,489,2,MEMBER,NA,NO,angular,Random
12030,3,3,NONE,NA,NO,angular,Random
12037,0,2,NONE,NA,NO,angular,Random
12057,20,2,CONTRIBUTOR,NA,NO,angular,Random
1206,0,2,NONE,NA,NO,angular,Random
12076,6242,2,MEMBER,216296,NO,angular,Random
12080,50,4,NONE,NA,NO,angular,Random
12082,48,7,CONTRIBUTOR,NA,NO,angular,Random
12109,16,3,CONTRIBUTOR,NA,NO,angular,Random
12113,1,5,NONE,NA,NO,angular,Random
12114,0,3,NONE,NA,NO,angular,Random
12120,1,9,NONE,NA,NO,angular,Random
12128,124,1,CONTRIBUTOR,NA,NO,angular,Random
1214,173,5,CONTRIBUTOR,47395,YES,angular,Random
12153,4,1,CONTRIBUTOR,NA,NO,angular,Random
12154,3,1,MEMBER,NA,NO,angular,Random
12155,25,5,NONE,NA,NO,angular,Random
12163,2,3,NONE,NA,NO,angular,Random
12169,18191,2,MEMBER,NA,YES,angular,Random
12170,0,2,NONE,NA,NO,angular,Random
12171,46,1,CONTRIBUTOR,NA,NO,angular,Random
12192,2,3,NONE,NA,NO,angular,Random
12197,1,7,NONE,NA,NO,angular,Random
12201,1515,1,CONTRIBUTOR,3871688,NO,angular,Random
12223,3381,4,MEMBER,NA,NO,angular,Random
12230,143,1,MEMBER,NA,NO,angular,Random
12235,0,2,NONE,NA,NO,angular,Random
12236,0,4,NONE,NA,NO,angular,Random
12240,0,12,NONE,NA,NO,angular,Random
12241,NA,0,NONE,NA,YES,angular,Random
12252,NA,7,CONTRIBUTOR,NA,YES,angular,Random
12255,2,1,CONTRIBUTOR,NA,NO,angular,Random
12265,30,6,NONE,NA,NO,angular,Random
12266,118,18,CONTRIBUTOR,NA,NO,angular,Random
1227,14,3,CONTRIBUTOR,NA,NO,angular,Random
12271,0,3,NONE,NA,NO,angular,Random
12273,2,3,NONE,NA,NO,angular,Random
12281,0,12,NONE,NA,NO,angular,Random
12287,15,4,NONE,NA,NO,angular,Random
12293,7,7,CONTRIBUTOR,NA,NO,angular,Random
12297,128,1,CONTRIBUTOR,NA,NO,angular,Random
12301,22,2,NONE,NA,NO,angular,Random
12321,669,3,CONTRIBUTOR,NA,NO,angular,Random
12322,1313,30,CONTRIBUTOR,NA,NO,angular,Random
12324,3155,19,CONTRIBUTOR,NA,NO,angular,Random
12325,12894,6,CONTRIBUTOR,NA,NO,angular,Random
12326,57,2,CONTRIBUTOR,NA,NO,angular,Random
12341,NA,11,NONE,NA,YES,angular,Random
12344,610,3,NONE,NA,NO,angular,Random
12348,600,11,CONTRIBUTOR,NA,NO,angular,Random
12353,216,7,CONTRIBUTOR,NA,NO,angular,Random
12398,NA,9,CONTRIBUTOR,372013,YES,angular,Random
12416,1257,2,CONTRIBUTOR,NA,NO,angular,Random
12417,23,4,CONTRIBUTOR,47395,NO,angular,Random
1242,13,4,CONTRIBUTOR,NA,NO,angular,Random
12422,164,1,CONTRIBUTOR,NA,NO,angular,Random
12424,163,6,CONTRIBUTOR,NA,NO,angular,Random
12439,312,3,CONTRIBUTOR,NA,NO,angular,Random
12441,1,11,NONE,NA,NO,angular,Random
12448,0,2,NONE,NA,NO,angular,Random
12449,11402,7,CONTRIBUTOR,NA,NO,angular,Random
12450,3,3,CONTRIBUTOR,NA,NO,angular,Random
12452,612,9,MEMBER,15655,NO,angular,Random
1247,42,4,CONTRIBUTOR,211513,NO,angular,Random
12474,183,6,CONTRIBUTOR,NA,NO,angular,Random
12487,1,2,NONE,NA,NO,angular,Random
