displayName,username,sent,repo,number
Lucas Azzola,azz,2016-07-15T00:07:11.571Z,Microsoft/TypeScript,9720
Yousef Shanawany,AskYous,2016-07-18T18:07:01.229Z,Microsoft/TypeScript,5711
Gabe Johnson,gabejohnson,2016-07-21T19:33:39.865Z,Microsoft/TypeScript,8986
Michał Kruk,kruczy,2016-07-27T15:12:10.525Z,Microsoft/TypeScript,9639
Axel D.,SetTrend,2016-07-28T12:56:24.142Z,Microsoft/TypeScript,10005
Michael Maier,maiermic,2016-07-29T16:37:20.239Z,Microsoft/TypeScript,9299
Michael Maier,maiermic,2016-08-05T19:41:43.835Z,Microsoft/TypeScript,5296
Ed Sinek,esinek,2016-08-08T22:40:15.030Z,Microsoft/TypeScript,3076
sam-s4s,sam-s4s,2016-08-09T07:31:24.865Z,Microsoft/TypeScript,8518
Blake Embrey,blakeembrey,2016-08-10T09:35:09.841Z,Microsoft/TypeScript,5683
Gábor IMRE,igabesz,2016-08-10T15:07:12.158Z,Microsoft/TypeScript,10250
Cody Casterline,NfNitLoop,2016-08-13T20:39:03.029Z,Microsoft/TypeScript,8496
Seva Zaikov,Bloomca,2016-08-15T16:03:48.580Z,Microsoft/TypeScript,6615
Roberto Wesley Overdijk,RWOverdijk,2016-08-16T08:12:53.913Z,Microsoft/TypeScript,3755
Asad Saeeduddin,masaeedu,2016-08-17T08:03:28.973Z,Microsoft/TypeScript,1336
Shawn Talbert,ShawnTalbert,2016-08-25T21:53:25.398Z,Microsoft/TypeScript,6751
Alex,whitecolor,2016-09-06T09:06:49.871Z,Microsoft/TypeScript,1213
James Henry,JamesHenry,2016-09-06T20:34:44.001Z,Microsoft/TypeScript,10730
Pier-Luc Gagnon,Nepoxx,2016-09-08T13:19:22.874Z,Microsoft/TypeScript,9407
sam-s4s,sam-s4s,2016-09-11T23:01:11.736Z,Microsoft/TypeScript,2000
Shawn Talbert,ShawnTalbert,2016-09-17T01:09:30.507Z,Microsoft/TypeScript,10690
Gorgi Kosev,spion,2016-09-18T00:19:36.829Z,Microsoft/TypeScript,4433
Patrick Roza,sickboy,2016-09-18T13:02:13.070Z,Microsoft/TypeScript,2009
Jari Pennanen,Ciantic,2016-09-20T17:28:14.211Z,Microsoft/TypeScript,11016
Jari Pennanen,Ciantic,2016-09-21T08:17:48.847Z,Microsoft/TypeScript,11031
Jari Pennanen,Ciantic,2016-09-21T16:39:19.531Z,Microsoft/TypeScript,11038
Stephen Solka,trashhalo,2016-09-21T20:10:14.598Z,Microsoft/TypeScript,9739
Jussi Mattila,jussimattila,2016-09-23T10:11:22.012Z,Microsoft/TypeScript,1564
John L.,jomcode,2016-09-24T22:32:24.244Z,Microsoft/TypeScript,11013
Kris Thomsen,kristho91,2016-09-26T13:11:43.755Z,Microsoft/TypeScript,10638
Lazar Ljubenović,lazarljubenovic,2016-10-06T10:31:32.343Z,Microsoft/TypeScript,1295
Herrington Darkholme,HerringtonDarkholme,2016-10-09T15:02:53.846Z,Microsoft/TypeScript,11313
Tom Dale,tomdale,2016-10-10T22:23:30.947Z,Microsoft/TypeScript,5863
Shawn Talbert,ShawnTalbert,2016-10-12T05:01:49.597Z,Microsoft/TypeScript,8385
Jeff Hansen,jeffijoe,2016-10-17T08:43:59.260Z,Microsoft/TypeScript,10233
Sergey Yavnyi,blacktaxi,2016-10-20T00:48:23.077Z,Microsoft/TypeScript,11566
Aleksandar Milošević,sasxa,2016-10-20T08:51:39.310Z,Microsoft/TypeScript,11233
Jeff Hansen,jeffijoe,2016-10-20T20:03:05.123Z,Microsoft/TypeScript,4881
Daniel Tabuenca,dtabuenc,2016-10-27T06:28:48.688Z,Microsoft/TypeScript,9793
Daniel Tabuenca,dtabuenc,2016-11-03T04:46:42.212Z,Microsoft/TypeScript,1213
Blake Friedman,blakef,2016-11-04T14:07:02.581Z,Microsoft/TypeScript,6615
Gorgi Kosev,spion,2016-11-08T13:44:23.114Z,Microsoft/TypeScript,4881
