issue_number,resolution_time
938,23.0
939,100.0
940,28.0
941,27.0
942,176.0
943,2.0
944,9.0
945,9.0
946,9.0
947,19.0
948,2200.0
949,10.0
950,10.0
951,2.0
952,1.0
953,156.0
954,4.0
955,1644.0
956,561.0
957,56.0
958,171.0
959,1624.0
960,14.0
961,14.0
962,45.0
963,708.0
964,150.0
965,2543.0
966,273.0
967,2880.0
968,5.0
969,5.0
970,7.0
971,3.0
972,648.0
973,12.0
974,6.0
975,4.0
976,2.0
977,2.0
978,1560.0
979,5.0
980,4.0
981,18.0
982,18.0
983,18.0
984,18.0
985,43.0
986,7.0
987,6.0
988,7.0
989,7.0
990,3.0
991,1.0
992,323.0
993,450.0
994,40.0
995,381.0
996,152.0
997,117.0
998,106.0
999,106.0
1000,1.0
1001,1.0
1002,2.0
1003,58.0
1004,3035.0
1005,1616.0
1006,100.0
1007,1.0
1008,1.0
1009,9.0
1010,10.0
1011,1.0
1012,1.0
1013,1.0
1014,1962.0
1015,153.0
1016,1102.0
1017,2403.0
1018,2.0
1019,2.0
1020,1278.0
1021,1277.0
1022,407.0
1023,26.0
1024,345.0
1025,12.0
1026,12.0
1027,1409.0
1028,8.0
1029,192.0
1030,330.0
1031,299.0
1032,7.0
1033,680.0
1034,1.0
1035,443.0
1036,1.0
1037,0.0
1038,7.0
1039,4.0
1040,3.0
1041,20.0
1042,429.0
1043,6.0
1044,61.0
1045,253.0
1046,58.0
1047,4.0
1048,22.0
1049,20.0
1050,0.0
1051,0.0
1052,0.0
1053,5.0
1054,10.0
1055,NA
1056,3.0
1057,2.0
1058,192.0
1059,8.0
1060,8.0
1061,8.0
1062,45.0
1063,346.0
1064,58.0
1065,58.0
1066,8.0
1067,7.0
1068,8.0
1069,7.0
1070,6.0
1071,2544.0
1072,27.0
1073,45.0
1074,23.0
1075,10.0
1076,9.0
