issue_number,resolution_time
822,6.0
823,2.0
824,2.0
825,428.0
826,428.0
827,3.0
828,17.0
829,561.0
830,9.0
831,4.0
832,2794.0
833,0.0
834,4.0
835,0.0
836,0.0
837,0.0
838,0.0
839,1.0
840,0.0
841,6.0
842,0.0
843,0.0
844,325.0
845,3967.0
846,396.0
847,4435.0
848,215.0
849,5.0
850,1.0
851,0.0
852,0.0
853,157.0
854,306.0
855,0.0
856,788.0
857,131.0
858,203.0
859,0.0
860,1.0
861,1.0
862,0.0
863,1.0
864,22.0
865,18.0
866,16.0
867,2.0
868,2.0
869,2.0
870,12045.0
871,1.0
872,0.0
873,0.0
874,30.0
875,8925.0
876,955.0
877,2.0
878,2.0
879,95.0
880,0.0
881,88.0
882,14.0
883,74.0
884,1.0
885,7.0
886,2.0
887,0.0
888,0.0
889,60.0
890,631.0
891,8829.0
892,22.0
893,939.0
894,2.0
895,20.0
896,0.0
897,8950.0
898,199.0
899,8753.0
900,3023.0
901,0.0
902,0.0
903,425.0
904,33.0
905,23281.0
906,42.0
907,4.0
908,193.0
909,19215.0
910,723.0
911,10.0
912,0.0
913,0.0
914,18.0
915,2.0
916,0.0
917,5.0
918,13.0
919,9.0
920,1994.0
921,0.0
922,0.0
923,23.0
924,0.0
925,13832.0
926,0.0
927,12817.0
928,26.0
929,16.0
930,422.0
931,4.0
932,4.0
933,58.0
934,3540.0
935,3539.0
936,0.0
937,446.0
938,0.0
939,44.0
940,10497.0
941,694.0
942,3489.0
943,2717.0
944,200.0
945,2.0
946,3183.0
947,163.0
948,NA
949,1.0
950,3200.0
951,3409.0
952,62.0
953,3473.0
954,1038.0
955,131.0
956,19.0
957,45.0
958,45.0
959,17.0
960,370.0
961,NA
962,0.0
963,0.0
964,0.0
965,NA
966,0.0
967,3287.0
968,433.0
969,652.0
970,0.0
971,2.0
972,13362.0
973,3019.0
974,32.0
975,239.0
976,10884.0
977,386.0
978,2.0
979,132.0
980,0.0
981,81.0
982,9.0
983,943.0
984,1.0
985,3.0
986,704.0
987,0.0
988,0.0
989,0.0
990,137.0
991,385.0
992,26.0
993,2.0
994,5.0
995,0.0
996,1.0
997,7.0
998,184.0
999,2.0
1000,0.0
1001,10600.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,15.0
1008,9.0
1009,4.0
1010,113.0
1011,0.0
1012,2855.0
1013,6.0
1014,102.0
1015,14474.0
1016,0.0
1017,3.0
1018,63.0
1019,2799.0
1020,24.0
1021,20170.0
1022,2776.0
1023,51.0
1024,0.0
1025,28.0
1026,0.0
1027,0.0
1028,1.0
1029,3.0
1030,9093.0
1031,188.0
1032,0.0
1033,2.0
1034,0.0
1035,22.0
1036,22.0
1037,17.0
1038,1.0
1039,54.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,1.0
1045,0.0
1046,11.0
1047,0.0
1048,84.0
1049,0.0
1050,0.0
1051,9507.0
1052,31.0
1053,745.0
1054,0.0
1055,0.0
1056,0.0
1057,96.0
1058,7394.0
1059,2.0
1060,4.0
1061,148.0
1062,2414.0
1063,175.0
1064,1.0
1065,5208.0
1066,3.0
1067,2335.0
1068,10520.0
1069,185.0
1070,692.0
1071,95.0
1072,2303.0
1073,7236.0
1074,2285.0
1075,3.0
1076,22.0
1077,0.0
1078,0.0
1079,338.0
1080,21.0
1081,0.0
1082,10432.0
1083,0.0
1084,143.0
1085,4.0
1086,746.0
1087,175.0
1088,1956.0
1089,88.0
1090,0.0
1091,5.0
1092,5.0
1093,9217.0
1094,1.0
1095,2.0
1096,435.0
1097,18.0
1098,256.0
1099,7106.0
1100,15.0
1101,239.0
1102,16437.0
1103,2.0
1104,0.0
1105,0.0
1106,3.0
1107,0.0
1108,0.0
1109,742.0
1110,359.0
1111,0.0
1112,0.0
1113,9097.0
1114,122.0
1115,0.0
1116,0.0
1117,84.0
1118,0.0
1119,49.0
1120,0.0
1121,0.0
1122,89.0
1123,0.0
1124,1.0
1125,1993.0
1126,20.0
1127,2.0
1128,0.0
1129,1.0
1130,8944.0
1131,16.0
1132,16.0
1133,554.0
1134,16.0
1135,0.0
1136,3.0
1137,3.0
1138,1.0
1139,22.0
1140,0.0
1141,NA
1142,6.0
1143,18.0
1144,20.0
1145,1.0
1146,186.0
1147,3.0
1148,1.0
1149,0.0
1150,3.0
1151,1.0
1152,1.0
1153,12.0
1154,7881.0
1155,16.0
1156,1521.0
1157,0.0
1158,0.0
1159,1.0
1160,0.0
1161,1482.0
1162,1959.0
1163,3.0
1164,122.0
1165,0.0
1166,123.0
1167,11958.0
1168,1727.0
1169,0.0
1170,4.0
1171,2.0
1172,0.0
1173,16.0
1174,1.0
1175,0.0
1176,15.0
1177,13.0
1178,5656.0
1179,45.0
1180,NA
1181,1367.0
1182,21.0
1183,2.0
1184,2.0
1185,232.0
1186,1.0
1187,0.0
1188,6659.0
1189,1.0
1190,30.0
1191,21.0
1192,1362.0
1193,0.0
1194,7834.0
1195,6661.0
1196,29.0
1197,18942.0
1198,1.0
1199,5.0
1200,22.0
1201,59.0
1202,0.0
1203,356.0
1204,1640.0
1205,37.0
1206,9684.0
1207,72.0
1208,8471.0
1209,25.0
1210,1.0
1211,1.0
1212,11694.0
1213,322.0
1214,18841.0
1215,19.0
1216,0.0
1217,419.0
1218,17.0
1219,576.0
1220,0.0
1221,19.0
1222,0.0
1223,0.0
1224,0.0
1225,279.0
1226,20.0
1227,8847.0
1228,6347.0
1229,0.0
1230,95.0
1231,8508.0
1232,27.0
1233,187.0
1234,0.0
1235,1.0
1236,1.0
1237,687.0
1238,6263.0
1239,6427.0
1240,0.0
1241,0.0
1242,1297.0
1243,0.0
1244,1.0
1245,1290.0
1246,1286.0
1247,835.0
1248,69.0
1249,0.0
1250,104.0
1251,0.0
1252,565.0
1253,106.0
1254,984.0
1255,60.0
1256,0.0
1257,3.0
1258,1343.0
1259,2.0
1260,1.0
1261,12.0
1262,44.0
1263,5.0
1264,39.0
1265,1.0
1266,0.0
1267,0.0
1268,0.0
1269,9.0
1270,69.0
1271,NA
1272,0.0
1273,829.0
1274,1151.0
1275,471.0
1276,1.0
1277,0.0
1278,1124.0
1279,1919.0
1280,0.0
1281,0.0
1282,3.0
1283,0.0
1284,72.0
1285,0.0
1286,0.0
1287,19.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,NA
